country_code,country_name_en,country_name_ko,capital,currency,timezone,primary_language,monthly_cost_usd_mid,rent_1br_city_usd,meal_avg_usd,transport_monthly_usd,internet_speed_mbps,internet_reliability,avg_temp_celsius,climate_type,rainy_season,dry_season,coworking_spaces_level,english_level,gpi_rank_2024,nomad_popularity_rank,nomad_visa_available,notes,last_verified,schengen,cost_tier,tax_residency_days,double_tax_treaty_with_kr
HUN,Hungary,헝가리,Budapest,HUF,UTC+1,Hungarian,2000,900,9,30,175,매우높음,11,대륙성,봄·가을,여름,높음,높음,50,14,Y,"White Card 유지; 최근 6개월간 월 순소득 €3,000 요건 재확인; 1년 발급 후 1회 연장 가능, 가족동반 불가; 솅겐 지역; Schengen EES 2026-04-10 전면 시행.",2026-06-25,Y,medium,183,Y
IDN,Indonesia (Bali),인도네시아 (발리),Jakarta,IDR,UTC+8 (Bali WITA),Indonesian,2000,650,5,80,150,보통,28,열대 습윤,11월~3월,4월~10월,매우높음,보통,50,2,Y,"이민국 E33G 공식 페이지 기준 1년 체류, 온라인 연장 가능, 스폰서 불요 재확인; 연소득 US$60,000 및 최근 3개월 최소 US$2,000 잔고 요건 명시; 캉구 코워킹 허브",2026-06-29,N,medium,183,Y
JPN,Japan,일본,Tokyo,JPY,UTC+9,Japanese,2800,1200,12,80,200,매우높음,15,온대 (도쿄)/아열대 (후쿠오카),6월~7월 (장마),10월~11월,높음,낮음,9,31,Y,"공식 안내 기준 디지털 노마드 특정활동 비자 유지; 본인 및 동반 배우자·자녀 모두 최대 6개월 체류, 갱신 불가, 출국 후 6개월 뒤 재신청 가능; 연소득 ¥10,000,000 및 체류 전 기간을 덮는 의료보험 요건 재확인; 한국인 90일 무비자 입국",2026-06-29,N,medium,183,Y
KEN,Kenya,케냐,Nairobi,KES,UTC+3,English/Swahili,1500,500,8,50,30,보통,19,열대 고원 (나이로비),3월~5월·10월~12월,1월~2월·6월~9월,보통,매우높음,105,29,Y,"Class N 디지털 노마드 퍼밋 유지; 2026-07-02 공식 eFNS 안내 기준 1년 또는 2년 발급 후 갱신 가능, 최근 3개월 월소득 증빙 및 신청비 $200 + 연간 허가비 $1,000 요구가 계속 명시됨; 정액 최소소득 기준은 여전히 확인필요; 나이로비 기술 허브; 아프리카 신흥 노마드 거점",2026-07-02,N,low,183,Y
MAR,Morocco,모로코,Rabat,MAD,UTC+1,Arabic/French,1000,500,6,30,35,보통,18,지중해/사막,10월~3월,4월~9월,보통,보통,78,24,N,공식 영사 비자 안내 재확인 결과 short/long/transit/border visa 체계만 확인되며 전용 DN 비자는 미확인 유지; 마라케시·아가디르 인기; 관광비자 90일 체류 활용,2026-05-21,N,low,183,N
MEX,Mexico,멕시코,Mexico City,MXN,UTC-6,Spanish,2000,800,6,30,70,보통,18,고원 온대 (CDMX),6월~9월,10월~5월,매우높음,보통,138,8,N,전용 DN 비자 없음; 임시거주비자 활용; 오악사카·플라야델카르멘 인기,2026-05-14,N,medium,183,N
MYS,Malaysia,말레이시아,Kuala Lumpur,MYR,UTC+8,Malay/English,1600,450,5,50,75,높음,27,열대 습윤,연중 산발 (북동 몬순 11~3월),없음,높음,매우높음,10,10,Y,DE Rantau 노마드 비자; 영어 공용어; 코타키나발루·KL 인기,2026-06-28,N,low,182,Y
NLD,Netherlands,네덜란드,Amsterdam,EUR,UTC+1,Dutch,3500,2000,18,100,175,매우높음,11,해양성,연중 (특히 가을~겨울),여름,매우높음,매우높음,18,18,N,전용 DN 비자 없음; IND 자영업 거주허가 경로 유지; 네덜란드 경제에 대한 essential interest 심사와 상공회의소 등록 필요; 신청비 €423; 솅겐 EES는 2026-04-10부터 전면 운영 중.,2026-06-12,Y,high,183,Y
PAN,Panama,파나마,Panama City,USD,UTC-5,Spanish,2500,950,10,50,90,높음,27,열대 습윤,5월~12월,1월~4월,보통,높음,48,19,Y,원격근무 단기체류 비자 제도 유지; 9개월 비자 후 1회 연장 가능; USD 사용; 파나마시티 허브,2026-06-25,N,medium,183,Y
PHL,Philippines,필리핀,Manila,PHP,UTC+8,Filipino/English,1500,450,4,50,94,보통,27,열대 몬순,6월~11월 (태풍),12월~5월,높음,매우높음,94,11,Y,EO No. 86 기준 DNV 제도는 유효하나 최소소득·수수료 등 시행 세부치는 2026-06-06 기준 공식 본문에서 확인되지 않아 확인필요,2026-06-06,N,low,180,Y
PRT,Portugal,포르투갈,Lisbon,EUR,UTC+0,Portuguese,2500,1200,12,45,150,높음,17,지중해성,10월~3월,4월~9월,매우높음,높음,7,4,Y,D8 비자 유지; 포르투갈 비자 포털 기준 remote work / digital nomad temporary stay 및 residency 카테고리 존속; 국가비자 수수료 €110; 솅겐 EES는 2026-04-10부터 전면 운영 중.,2026-06-12,Y,medium,183,Y
PRY,Paraguay,파라과이,Asuncion,PYG,UTC-4,Spanish,1300,550,4,30,119,보통,24,아열대,10월~4월,5월~9월,중간,낮음,확인필요,58,N,전용 DN 비자는 확인되지 않았으나 Migraciones 일반 임시거주 경로는 공식 유지(최대 2년+동일 기간 연장 가능); 일반 요건과 수수료 공지 재확인,2026-06-25,N,low,183,확인필요
QAT,Qatar,카타르,Doha,QAR,UTC+3,Arabic,3200,1800,12,55,11,높음,29,사막,11월~4월(약함),5월~10월,중간,높음,확인필요,912,N,Visit Qatar 공식 비자 안내 2026-07-02 재확인 기준 South Korea 국적은 visa-free entry 대상이며 여권 유효기간 최소 3개월 조건이 안내됨; 공식 관광 비자 페이지에서 전용 디지털 노마드 체류 카테고리는 확인되지 않음(장기 원격근무는 추가 공식 경로 확인필요),2026-07-02,N,high,183,확인필요
ROU,Romania,루마니아,Bucharest,RON,UTC+2,Romanian,1500,650,7,20,230,매우높음,11,대륙성,봄·가을,여름,높음,높음,37,20,Y,eViza/IGI 기준 DN 비자 유지; 최근 6개월 매월 평균총임금 3배 소득 요건; 장기체류비자 수수료 2026-04-27부터 EUR 300; 솅겐/EES 운영국,2026-05-19,Y,low,183,Y
SVN,Slovenia,슬로베니아,Ljubljana,EUR,UTC+1,Slovenian,2000,850,12,50,100,높음,10,온대 대륙성,봄·가을,여름,보통,높음,7,27,Y,디지털 노마드 임시거주허가 유지; 2025-11-21 도입; 최대 1년·연장 불가·만료 후 6개월 뒤 재신청 가능; 충분한 생계수단은 최근 공표 평균 순임금의 2배 기준; 솅겐 EES는 2026-04-10부터 전면 운영 중.,2026-06-12,Y,medium,183,N
THA,Thailand,태국,Bangkok,THB,UTC+7,Thai,1500,700,5,50,150,높음,28,열대 몬순,5월~10월,11월~4월,매우높음,보통,76,3,Y,태국 외교부 DTV 안내 기준 5년 복수입국 유지; 1회 180일+연장 180일; 재정증빙 500000THB,2026-06-25,N,low,180,Y
TWN,Taiwan,대만,Taipei,TWD,UTC+8,Mandarin Chinese,2000,900,10,30,300,매우높음,24,아열대 습윤,5월~9월,10월~4월,높음,보통,30,30,Y,"NDC/BOCA 공식 안내 기준 디지털 노마드 방문비자 유지; 30세 이상 연소득 $40,000 또는 20~29세 $20,000; 공식 포털은 최대 2년 체류 가능으로 안내",2026-06-25,N,medium,183,확인필요
URY,Uruguay,우루과이,Montevideo,UYU,UTC-3,Spanish,2000,800,10,30,160,높음,17,온대 해양성,연중 고른 강수,없음,보통,보통,38,23,Y,공식 gub.uy 기준 디지털 노마드용 임시 신분증(Hoja de identidad provisoria nómada digital) 유지; 180일 미만 체류용이며 온라인/대면 신청 가능; 갱신 시 범죄경력증명·우루과이 예방접종 증빙 요구; 공식 페이지 최종 업데이트는 2026-03-12,2026-06-26,N,medium,183,Y
VNM,Vietnam,베트남,Hanoi,VND,UTC+7,Vietnamese,1000,400,3,30,100,높음,27,열대 몬순,5월~11월 (남부),12월~4월,높음,보통,41,9,N,전용 DN 비자 없음; 공식 evisa.gov.vn 기준 e비자는 최대 90일이며 단수/복수입국 선택이 유지되고 수수료는 단수 $25·복수 $50로 안내됨; 저렴한 물가; 다낭·호치민 인기,2026-06-26,N,low,183,Y
